Date,Close,Open,High,Low,%change,%rate
21/04/2015,1.0736,1.074,1.0784,1.0661,-0.0001,-0.01
22/04/2015,1.0726,1.0736,1.0802,1.0709,-0.0009,-0.09
23/04/2015,1.0827,1.0726,1.0848,1.0667,0.0094,0.94
24/04/2015,1.0874,1.0825,1.0901,1.0785,0.0043,0.43
27/04/2015,1.0888,1.0873,1.0928,1.0821,0.0013,0.13
28/04/2015,1.0981,1.0894,1.0991,1.0859,0.0085,0.85
29/04/2015,1.1132,1.0983,1.1189,1.096,0.0138,1.38
30/04/2015,1.1225,1.113,1.1269,1.1073,0.0084,0.84
1/5/2015,1.1202,1.1223,1.129,1.1176,-0.002,-0.2
4/5/2015,1.1146,1.1202,1.1226,1.1123,-0.005,-0.5
5/5/2015,1.1186,1.1147,1.1223,1.1067,0.0036,0.36
6/5/2015,1.1353,1.1187,1.1372,1.1176,0.0149,1.49
7/5/2015,1.1267,1.1347,1.1393,1.1237,-0.0076,-0.76
8/5/2015,1.1204,1.1267,1.129,1.1178,-0.0056,-0.56
11/5/2015,1.1155,1.1197,1.1207,1.1131,-0.0044,-0.44
12/5/2015,1.1214,1.1155,1.1277,1.1134,0.0053,0.53
13/05/2015,1.1357,1.1214,1.1385,1.1204,0.0128,1.28
14/05/2015,1.141,1.1359,1.1447,1.1341,0.0047,0.47
15/05/2015,1.1452,1.141,1.1467,1.1324,0.0037,0.37
18/05/2015,1.1315,1.1441,1.145,1.1298,-0.012,-1.2
19/05/2015,1.1149,1.1317,1.1328,1.1119,-0.0147,-1.47
20/05/2015,1.1093,1.115,1.1156,1.1063,-0.005,-0.5
21/05/2015,1.1113,1.1092,1.1181,1.108,0.0018,0.18
22/05/2015,1.1018,1.1115,1.1211,1.1004,-0.0085,-0.85
25/05/2015,1.0978,1.1006,1.1012,1.0961,-0.0036,-0.36
26/05/2015,1.0873,1.0978,1.0985,1.0863,-0.0096,-0.96
27/05/2015,1.0905,1.0873,1.0931,1.082,0.0029,0.29
28/05/2015,1.0949,1.0905,1.096,1.0869,0.004,0.4
29/05/2015,1.0988,1.0948,1.1006,1.0926,0.0036,0.36
1/6/2015,1.0928,1.0989,1.0991,1.0888,-0.0055,-0.55
2/6/2015,1.1155,1.0928,1.1193,1.0915,0.0208,2.08
3/6/2015,1.1275,1.1151,1.1284,1.1079,0.0108,1.08
4/6/2015,1.1239,1.1276,1.1381,1.1227,-0.0032,-0.32
5/6/2015,1.1113,1.1239,1.1281,1.105,-0.0112,-1.12
8/6/2015,1.1292,1.1113,1.1307,1.108,0.0161,1.61
9/6/2015,1.1284,1.1292,1.1345,1.1214,-0.0007,-0.07
10/6/2015,1.1326,1.1286,1.1387,1.1261,0.0037,0.37
11/6/2015,1.1258,1.1325,1.1332,1.1183,-0.006,-0.6
12/6/2015,1.1269,1.1258,1.1298,1.1151,0.001,0.1
15/06/2015,1.1284,1.1225,1.1294,1.1189,0.0013,0.13
16/06/2015,1.1248,1.1283,1.1331,1.1206,-0.0032,-0.32
17/06/2015,1.1337,1.1249,1.136,1.1213,0.0079,0.79
18/06/2015,1.136,1.1337,1.1438,1.1331,0.002,0.2
19/06/2015,1.1353,1.136,1.1393,1.1292,-0.0006,-0.06
22/06/2015,1.1341,1.1363,1.1411,1.1312,-0.0011,-0.11
23/06/2015,1.117,1.1341,1.1348,1.1135,-0.0151,-1.51
24/06/2015,1.1207,1.1171,1.1237,1.1156,0.0033,0.33
25/06/2015,1.1204,1.1204,1.1227,1.1153,-0.0003,-0.03
26/06/2015,1.1166,1.1207,1.1221,1.1131,-0.0034,-0.34
29/06/2015,1.1236,1.1031,1.1279,1.0954,0.0063,0.63
30/06/2015,1.1138,1.1237,1.1246,1.1114,-0.0087,-0.87
1/7/2015,1.1054,1.1139,1.1172,1.1042,-0.0075,-0.75
2/7/2015,1.1084,1.1054,1.1124,1.1031,0.0027,0.27
3/7/2015,1.1114,1.1086,1.1119,1.1066,0.0027,0.27
6/7/2015,1.1057,1.0993,1.1097,1.0969,-0.0051,-0.51
7/7/2015,1.1012,1.1056,1.1061,1.0917,-0.0041,-0.41
8/7/2015,1.1077,1.1012,1.1094,1.0974,0.0059,0.59
9/7/2015,1.1038,1.1078,1.1126,1.0992,-0.0035,-0.35
10/7/2015,1.1164,1.1037,1.1218,1.1031,0.0114,1.14
13/07/2015,1.1004,1.1107,1.1197,1.0995,-0.0143,-1.43
14/07/2015,1.1012,1.1004,1.1084,1.0966,0.0007,0.07
15/07/2015,1.0949,1.101,1.1035,1.093,-0.0057,-0.57
