Date,High,Low,Open,Close,Volume,Adj Close
1/2/1980,108.4300003,105.2900009,0,105.7600021,40610000,105.7600021
1/3/1980,106.0800018,103.2600021,0,105.2200012,50480000,105.2200012
1/4/1980,107.0800018,105.0899963,0,106.5199966,39130000,106.5199966
1/7/1980,107.8000031,105.8000031,0,106.8099976,44500000,106.8099976
1/8/1980,109.2900009,106.2900009,0,108.9499969,53390000,108.9499969
1/9/1980,111.0899963,108.4100037,0,109.0500031,65260000,109.0500031
1/10/1980,110.8600006,108.4700012,0,109.8899994,55980000,109.8899994
1/11/1980,111.1600037,108.8899994,0,109.9199982,52890000,109.9199982
1/14/1980,111.4400024,109.3399963,0,110.3799973,52930000,110.3799973
1/15/1980,111.9300003,109.4499969,0,111.1399994,52320000,111.1399994
1/16/1980,112.9000015,110.3799973,0,111.0500031,67700000,111.0500031
1/17/1980,112.0100021,109.8099976,0,110.6999969,54170000,110.6999969
1/18/1980,111.7399979,109.8799973,0,111.0699997,47150000,111.0699997
1/21/1980,112.9000015,110.6600037,0,112.0999985,48040000,112.0999985
1/22/1980,113.0999985,110.9199982,0,111.5100021,50620000,111.5100021
1/23/1980,113.9300003,110.9300003,0,113.4400024,50730000,113.4400024
1/24/1980,115.2699966,112.9499969,0,113.6999969,59070000,113.6999969
1/25/1980,114.4499969,112.3600006,0,113.6100006,47100000,113.6100006
1/28/1980,115.6500015,112.9300003,0,114.8499985,53620000,114.8499985
1/29/1980,115.7699966,113.0299988,0,114.0699997,55480000,114.0699997
1/30/1980,115.8499985,113.3700027,0,115.1999969,51170000,115.1999969
1/31/1980,117.1699982,113.7799988,0,114.1600037,65900000,114.1600037
2/1/1980,115.5400009,113.1299973,0,115.1200027,46610000,115.1200027
2/4/1980,116.0100021,113.8300018,0,114.3700027,43070000,114.3700027
2/5/1980,115.25,112.1500015,0,114.6600037,41880000,114.6600037
2/6/1980,116.5699997,113.6500015,0,115.7200012,51950000,115.7200012
2/7/1980,117.8700027,115.2200012,0,116.2799988,57690000,116.2799988
2/8/1980,118.6600037,115.7200012,0,117.9499969,57860000,117.9499969
2/11/1980,119.0500031,116.3099976,0,117.1200027,58660000,117.1200027
2/12/1980,118.4100037,115.75,0,117.9000015,48090000,117.9000015
2/13/1980,120.2200012,117.5699997,0,118.4400024,65230000,118.4400024
2/14/1980,119.3000031,116.0400009,0,116.7200012,50540000,116.7200012
2/15/1980,116.6999969,114.1200027,0,115.4100037,46680000,115.4100037
2/19/1980,115.6699982,113.3499985,0,114.5999985,39480000,114.5999985
2/20/1980,117.1800003,114.0599976,0,116.4700012,44340000,116.4700012
2/21/1980,117.9000015,114.4400024,0,115.2799988,51530000,115.2799988
2/22/1980,116.4599991,113.4300003,0,115.0400009,48210000,115.0400009
2/25/1980,114.9300003,112.6200027,0,113.3300018,39140000,113.3300018
2/26/1980,114.7600021,112.3000031,0,113.9800034,40000000,113.9800034
2/27/1980,115.1200027,111.9100037,0,112.3799973,46430000,112.3799973
2/28/1980,113.6999969,111.3300018,0,112.3499985,40330000,112.3499985
2/29/1980,114.1200027,111.7699966,0,113.6600037,38810000,113.6600037
3/3/1980,114.3399963,112.0100021,0,112.5,38690000,112.5
3/4/1980,113.4100037,110.8300018,0,112.7799988,44310000,112.7799988
3/5/1980,113.9400024,110.5800018,0,111.1299973,49240000,111.1299973
3/6/1980,111.2900009,107.8499985,0,108.6500015,49610000,108.6500015
3/7/1980,108.9599991,105.9899979,0,106.9000015,50950000,106.9000015
3/10/1980,107.8600006,104.9199982,0,106.5100021,43750000,106.5100021
3/11/1980,108.5400009,106.1800003,0,107.7799988,41350000,107.7799988
3/12/1980,108.4000015,105.4199982,0,106.8700027,37990000,106.8700027
3/13/1980,107.5500031,105.0999985,0,105.6200027,33070000,105.6200027
3/14/1980,106.4899979,104.0100021,0,105.4300003,35180000,105.4300003
3/17/1980,105.2300034,101.8199997,0,102.2600021,37020000,102.2600021
3/18/1980,104.7099991,101.1399994,0,104.0999985,47340000,104.0999985
3/19/1980,105.7200012,103.3499985,0,104.3099976,36520000,104.3099976
3/20/1980,105.1699982,102.5199966,0,103.1200027,32580000,103.1200027
3/21/1980,103.7300034,101.5500031,0,102.3099976,32220000,102.3099976
3/24/1980,102.1800003,98.87999725,0,99.27999878,39230000,99.27999878
3/25/1980,100.5800018,97.88999939,0,99.19000244,43790000,99.19000244
3/26/1980,101.2200012,98.09999847,0,98.68000031,37370000,98.68000031
3/27/1980,99.58000183,94.23000336,0,98.22000122,63680000,98.22000122
3/28/1980,101.4300003,97.72000122,0,100.6800003,46720000,100.6800003
3/31/1980,102.6500015,100.0199966,0,102.0899963,35840000,102.0899963
4/1/1980,103.2799988,100.8499985,0,102.1800003,32230000,102.1800003
4/2/1980,103.8700027,101.4499969,0,102.6800003,35210000,102.6800003
4/3/1980,103.3399963,101.3099976,0,102.1500015,27970000,102.1500015
4/7/1980,102.2699966,99.73000336,0,100.1900024,29130000,100.1900024
4/8/1980,101.8799973,99.23000336,0,101.1999969,31700000,101.1999969
4/9/1980,103.5999985,101.0100021,0,103.1100006,33020000,103.1100006
4/10/1980,105,102.8099976,0,104.0800018,33940000,104.0800018
4/11/1980,105.1500015,103.1999969,0,103.7900009,29960000,103.7900009
4/14/1980,103.9199982,102.0800018,0,102.8399963,23060000,102.8399963
4/15/1980,103.9400024,101.8499985,0,102.6299973,26670000,102.6299973
4/16/1980,104.4199982,101.1299973,0,101.5400009,39730000,101.5400009
4/17/1980,102.2099991,100.1200027,0,101.0500031,32770000,101.0500031
4/18/1980,102.0699997,99.97000122,0,100.5500031,26880000,100.5500031
4/21/1980,101.2600021,98.94999695,0,99.80000305,27560000,99.80000305
4/22/1980,104.0199966,100.8099976,0,103.4300003,47920000,103.4300003
4/23/1980,105.1100006,102.8099976,0,103.7300034,42620000,103.7300034
4/24/1980,105.4300003,102.9300003,0,104.4000015,35790000,104.4000015
4/25/1980,105.5699997,103.0199966,0,105.1600037,28590000,105.1600037
4/28/1980,106.7900009,104.6399994,0,105.6399994,30600000,105.6399994
4/29/1980,106.6999969,104.8600006,0,105.8600006,27940000,105.8600006
4/30/1980,106.7200012,104.5,0,106.2900009,30850000,106.2900009
5/1/1980,106.8600006,104.7200012,0,105.4599991,32480000,105.4599991
5/2/1980,106.25,104.6100006,0,105.5800018,28040000,105.5800018
5/5/1980,106.8300018,104.6399994,0,106.3799973,34090000,106.3799973
5/6/1980,107.8300018,105.3600006,0,106.25,40160000,106.25
5/7/1980,108.1200027,105.8300018,0,107.1800003,42600000,107.1800003
5/8/1980,108.0199966,105.5,0,106.1299973,39280000,106.1299973
5/9/1980,106.1999969,104.1800003,0,104.7200012,30280000,104.7200012
5/12/1980,105.4800034,103.5,0,104.7799988,28220000,104.7799988
